team,url,Platz,sgm_url,aktiv,Spiele,Staffel
A,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2324/team-id/011MIB1QNG000000VTVG0001VTR8C1K7#!/,7,,1,1,Bundesliga Deutschland Bundesliga Herren
B1,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/01OQR89UAC000000VV0AG80NVU94JLT0#!/,1,,1,0,Bundesliga Deutschland Bundesliga Herren
B2,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-ii-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/02B9N1UOUG000000VS5489B1VU20GQ5T#!/,,,0,,
B-J-innen,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0#!/,1,https://sgm-abi.de/teams/b-juniorinnen,1,0,Bundesliga Deutschland Bundesliga Herren
C1,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/020CNNEK1G000000VS548984VS7EIAOE#!/,3,https://sgm-abi.de/teams/c-junioren,1,1,Bundesliga Deutschland Bundesliga Herren
C2,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-abi-ii-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/020CNO5CCG000000VS548984VS7EIAOE#!/,,https://sgm-abi.de/teams/c-junioren,0,,
C1-J-innen,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/011MIAPVRC000000VTVG0001VTR8C1K7#!/,1,,1,0,Bundesliga Deutschland Bundesliga Herren
C2-J-innen,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-abi-ii-sc-ilsfeld-wuerttemberg/-/saison/2324/team-id/02MBQ4UR9G000000VS5489B2VURM3E5J#!/,,,0,,
D1,https://www.fussball.de/mannschaft/sgm-ilsfeld-abstatt-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2425/team-id/011MICMDO8000000VTVG0001VTR8C1K7#!/,10,,1,1,Bundesliga Deutschland Bundesliga Herren
D2,https://www.fussball.de/mannschaft/sgm-ilsfeld-abstatt-heinriet-abi-ii-sc-ilsfeld-wuerttemberg/-/saison/2425/team-id/011MIBO1P0000000VTVG0001VTR8C1K7#!/,1,,1,0,Bundesliga Deutschland Bundesliga Herren
D1-J-innen,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2425/team-id/011MIB7H8C000000VTVG0001VTR8C1K7#!/,1,,1,0,Bundesliga Deutschland Bundesliga Herren
D2-J-innen,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-abi-ii-sc-ilsfeld-wuerttemberg/-/saison/2425/team-id/02MBQ44NMK000000VS5489B2VURM3E5J#!/,,,0,,
E1-Abstatt-Heinriet,https://www.fussball.de/mannschaft/sgm-sc-abstatt-heinriet-i-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIDCML8000000VTVG0001VTR8C1K7#!/,,,1,,
E2-Abstatt-Heinriet,https://www.fussball.de/mannschaft/sgm-sc-abstatt-heinriet-ii-sc-abstatt-wuerttemberg/-/saison/2324/team-id/02IO97THR8000000VS5489B2VVQ9C6A6#!/,,,0,,
E1-Beilstein,https://www.fussball.de/mannschaft/tgv-eintracht-beilstein-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/011MIE2OV0000000VTVG0001VTR8C1K7#!/,,,1,,
E2-Beilstein,https://www.fussball.de/mannschaft/tgv-eintracht-beilstein-ii-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/02F766ENJS000000VS5489B2VSVSCJB6#!/,,,1,,
E3-Beilstein,https://www.fussball.de/mannschaft/tgv-eintracht-beilstein-iii-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/02N6333A0C000000VS5489B2VTUPOD5G#!/,,,1,,
E4-Beilstein,https://www.fussball.de/mannschaft/tgv-eintracht-beilstein-iv-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/02RG9C7N4K000000VS5489B1VS1H04V9#!/,,,1,,
E1-Ilsfeld,https://www.fussball.de/mannschaft/sc-ilsfeld-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/011MIF7JNO000000VTVG0001VTR8C1K7#!/,,,1,,
E2-Ilsfeld,https://www.fussball.de/mannschaft/sc-ilsfeld-ii-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/02F0RMMEE8000000VS5489B2VUBVHUE0#!/,,,1,,
